run_id	Step	mean_absolute_percentage_error
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	0	656.8870107802584
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	1	605.7101979741556
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	2	640.9016147030227
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	3	662.7792776005324
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	4	678.3679336999269
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	5	653.8622597980011
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	6	655.2981065510819
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	7	667.6073614740935
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	8	674.8615724563315
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	9	696.8416860870998
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	10	681.7011053149778
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	11	697.2822030465293
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	12	684.0069272248667
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	13	680.5832780710164
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	14	692.9952111227873
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	15	680.31687476964
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	16	686.6255503556567
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	17	690.7434387422481
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	18	702.347408851397
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	19	702.0175629028296
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	20	697.8376714564644
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	21	700.7435911783948
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	22	707.6636412917914
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	23	713.5047155997421
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	24	676.5011665354729
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	25	689.6528804885352
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	26	676.8532426426119
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	27	702.2320214352549
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	28	674.6650008102533
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	29	689.3491333774675
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	30	698.6866049435118
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	31	691.7752391951688
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	32	702.0386889675492
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	33	695.5147451501983
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	34	675.1266154698963
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	35	677.5502804198044
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	36	675.4726118772148
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	37	663.4822050613957
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	38	678.7123286831642
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	39	705.5931676563966
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	40	693.4133135624322
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	41	683.829424266201
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	42	678.5458458976753
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	43	681.2462372298348