run_id	Step	median_absolute_error
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	0	1727.0425537109375
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	1	1657.7501586914063
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	2	1747.1983764648437
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	3	1765.7490478515624
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	4	1803.2327880859375
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	5	1747.4975830078124
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	6	1746.253662109375
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	7	1781.0060791015626
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	8	1803.5356323242188
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	9	1836.78203125
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	10	1812.7605590820312
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	11	1841.6873779296875
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	12	1819.4540283203125
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	13	1804.6054931640624
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	14	1828.2433715820312
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	15	1812.9665893554688
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	16	1818.43857421875
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	17	1827.6985107421874
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	18	1836.4159545898438
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	19	1828.130078125
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	20	1830.2333374023438
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	21	1827.1909057617188
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	22	1839.1546875
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	23	1863.7832275390624
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	24	1779.5172485351563
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	25	1801.4546752929687
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	26	1767.9032470703125
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	27	1830.126611328125
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	28	1769.7694458007813
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	29	1790.7957763671875
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	30	1816.7143310546876
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	31	1809.6223510742188
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	32	1827.9682373046876
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	33	1813.8343139648437
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	34	1774.1382446289062
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	35	1763.0001220703125
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	36	1763.9528686523438
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	37	1757.619287109375
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	38	1786.6871704101563
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	39	1837.8359375
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	40	1808.3635375976562
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	41	1779.0339599609374
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	42	1770.8584228515624
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	43	1772.639111328125