run_id	Step	explained_variance
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	0	-9.399442506294745
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	1	-0.021950490578063243
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	2	0.41663076840739527
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	3	0.6017677482299556
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	4	0.6132009549924129
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	5	0.8410266874837559
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	6	0.6518610223319513
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	7	0.8047214756223594
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	8	0.7952877917668453
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	9	0.8803728842726564
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	10	0.6946057006327466
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	11	0.8497236878116624
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	12	0.5162838525761758
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	13	0.7744385728966805
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	14	0.4815952877271733
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	15	0.7175598454427965
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	16	0.6038789113437862
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	17	0.8765930628608469
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	18	0.673460949231321
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	19	0.8286209189056974
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	20	-0.11474136812139016
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	21	0.8127202937162865
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	22	0.8901014172343675
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	23	0.7325686828683782
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	24	0.782273315622911
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	25	0.8415240182662942
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	26	0.7054233610025913
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	27	0.8391938771860481
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	28	0.8268454665940679
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	29	0.8425132192672151
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	30	0.7500438803126783
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	31	0.8630599657761412
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	32	0.20609527506953262
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	33	0.7189309382026459
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	34	0.3286827130300425
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	35	0.6103666180715001
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	36	0.8764976157315088
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	37	0.9026830126842352
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	38	0.6739658923133445
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	39	0.7525598572076858
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	40	0.8883928906745897
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	41	0.864872868416195
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	42	0.8587749086401368
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	43	0.8645669802247428
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	44	0.9392894151646353
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	45	0.93730129474805
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	46	0.9197104428916667
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	47	0.8678661306898384
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	48	0.8131358407600917
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	49	0.7547491651004139
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	50	0.4697880507764586
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	51	0.8666779836392171
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	52	0.9621190253314488
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	53	0.9649038786865587
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	54	0.8254941400781044
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	55	0.9489531027308559
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	56	0.6653391239226549
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	57	0.89740751322586
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	58	0.39621735017616466
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	59	0.7548079499444567
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	60	0.846174794387837
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	61	0.7385129020148723
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	62	0.9395212124380734
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	63	0.8657182013181691
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	64	0.9007654326217267
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	65	0.9142233764194974
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	66	0.9544240061391698
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	67	0.8022087630369397
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	68	0.8571491540748895
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	69	0.8221369932873855
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	70	0.7762636837504473
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	71	0.7292007772621204
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	72	0.6887501621611133
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	73	0.9315800709708434