run_id	Step	normalized_root_mean_squared_log_error
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	0	0.00022122904840510748
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	1	0.00009035382807832726
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	2	0.00006001714035402328
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	3	0.000057131797569922845
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	4	0.00005011655653775557
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	5	0.00004128536159370503
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	6	0.000047691471287206975
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	7	0.00003769851224729141
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	8	0.0000396849380654782
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	9	0.000031257748893368857
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	10	0.00005421750468485172
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	11	0.000037595313854044684
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	12	0.00008635102793992524
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	13	0.00004201414048354552
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	14	0.0000741479328346242
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	15	0.000034132997918441584
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	16	0.00005425230063573642
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	17	0.000037186649323394165
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	18	0.0000576871619815647
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	19	0.00003440788263202052
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	20	0.00008689778374363563
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	21	0.00003140592497181128
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	22	0.000026157651993581544
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	23	0.00005336298157277318
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	24	0.000049663618623221675
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	25	0.00004166092890032072
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	26	0.00004766402019193881
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	27	0.00002615706920830272
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	28	0.000036352327488158154
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	29	0.000048817462771286756
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	30	0.00003257502817195439
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	31	0.00004126525716586675
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	32	0.0000622348374802335
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	33	0.000033415218009079035
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	34	0.00007963991431579095
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	35	0.000051970124526212765
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	36	0.000023873536707067678
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	37	0.000023201224344996045
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	38	0.00004451154880185787
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	39	0.00003841247508573854
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	40	0.000029118006039101715
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	41	0.000029267792751912278
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	42	0.00002722862526617424
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	43	0.000024780076818472163
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	44	0.000018505790642687808
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	45	0.00001913375940577539
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	46	0.000020905563355941944
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	47	0.00003616697648702707
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	48	0.000028902334385765054
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	49	0.000030124646145715754
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	50	0.0000490680251083956
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	51	0.00003593993267038738
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	52	0.00001682531370173573
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	53	0.00001467438033617323
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	54	0.0000454562547099342
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	55	0.00002333412641690293
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	56	0.00005871828325559092
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	57	0.00003185518612752908
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	58	0.00008860466281470505
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	59	0.00005470845590526142
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	60	0.000035601379269925457
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	61	0.00005759358023220308
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	62	0.00001607260580311404
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	63	0.00004210432216903814
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	64	0.00002287746914358158
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	65	0.00003274038898275943
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	66	0.000015395799912838727
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	67	0.000055835137829895415
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	68	0.00003693534238987137
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	69	0.000049597492022263806
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	70	0.00005398787342258813
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	71	0.00005795981757276812
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	72	0.0000670828226987454
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	73	0.0000239508123979274